Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
154,224.5339834376661,11,-99.24216454755685
155,236.63065698330146,6,-340.1872423766923
156,198.553481739569,-4,-182.9280442760735
157,242.5339834376661,-61,-116.79447017527329
158,196.0,9,-21.688974490720227
159,259.6658467953559,16,-223.45441733480288
160,204.0,-33,-98.55201256713687
161,206.0,14,-348.0527997994479
162,211.8632748256556,3,-25.10000000000001
163,221.0,9,-44.53466590674938
164,238.70052170158579,3,-94.94037169009783
165,212.69561854628586,-6,-363.15476852251487
166,250.0,2,-31.80000000000002
167,227.0,1,-63.67599317628839
168,239.66094886809097,18,-38.70000000000002
169,225.0,13,-45.10000000000001
170,-329.73158287375804,-1,-58.50814196050361
171,217.02988016454648,15,-44.51022951136457
172,216.3970166901127,4,-55.400000000000006
173,230.0,4,-92.85296337258151
174,220.0,17,-637.061844531221
175,227.99514462240347,20,-47.61095002112478
176,224.16660533889092,9,-168.0514538897127
177,223.16653826391968,14,-84.14338798925023
178,213.14743092550563,14,-340.3323877246669
179,217.0,7,-66.16895158665703
180,253.99036828258653,10,-12.31223485757998
181,224.97553028484006,15,-131.88788039962026
182,238.01219285865102,3,-65.29999999999998
183,234.39801010970973,7,-46.725496536079774
184,232.0,-3,-42.43249391453903
185,222.0,-10,-31.616697330554565
186,240.91189936433074,-13,-50.20000000000002
187,219.0,-32,-1563.569137472997
188,241.16660533889092,7,-400.1167308680403
189,245.0,7,-52.495860172753595
190,230.0,18,-74.79999999999998
191,243.18508763864884,15,-54.55673976657596
192,204.11388300841895,13,-75.5858760343643
193,222.0,13,-49.80000000000001
194,211.0,18,-160.14677366742305
195,235.0,14,-38.768650060297674
196,219.0,-1,-60.80000000000001
197,220.73333206057566,10,-27.46865006029767
198,217.0,14,-261.11669733055453
199,230.0,10,-74.10000000000001
200,217.3985589804796,18,-41.30000000000001
201,237.0,8,-41.047760939254246
202,219.03356311416024,10,-22.733333969712177
203,121.36506584383189,0,-13.300000000000004
204,231.3566321658339,12,-62.999999999999986
205,227.6227766016838,5,-25.72439670398594
206,224.04585891796944,-2,-22.500000000000007
207,235.0,15,-396.30000000000047
208,222.0,3,-39.60000000000001
209,222.0,-6,-35.942627874171976
210,224.0,6,-33.10000000000001
211,240.0,6,-750.3289321881347
212,225.0,18,-45.000000000000014
213,110.6377080960506,-96,-54.47449787700296
214,219.27886079807536,-11,-212.6693665849032
215,227.0,14,-31.500000000000014
216,222.0,12,-253.5
217,249.50889359326482,14,-46.00000000000003
218,216.0,12,-56.89728485770546
219,235.0,8,-34.37152048096495
220,217.0,6,-263.95744211671393
221,222.0,-10,-29.159698517744673
222,235.0,13,-33.30000000000001
223,230.16660533889092,15,-42.500000000000014
224,217.0,5,-29.94109403454049
225,245.7160843825673,18,-30.80000000000001
226,157.4444543105624,20,-29.156739766575946
227,227.0,20,-152.5999999999999
228,219.0,13,-24.29333221503994
229,230.0,9,-41.30000000000001
230,222.0,13,-133.0999999999999
231,244.4020588679326,15,-17.200000000000003
232,234.95704798508214,17,-23.400720509760212
233,235.0,19,-25.012234857579983
234,222.0,20,-10.200000000000003
235,235.0,-2,-23.70000000000001
236,214.0,15,-72.5925438193244
237,251.8826897214582,16,-11.500000000000007
238,222.0,18,-13.70000000000001
239,212.0,15,-6.600000000000001
240,240.0,15,-25.98363192352197
241,235.0,17,-34.32352033074961
242,227.0,11,-77.45478961292478
243,235.0,5,-23.400000000000013
244,237.0,16,-27.233461736080322
245,235.0,15,-29.95673976657595
246,217.0,15,-17.940155538155075
247,230.0,20,-533.1026235481446
248,222.0,11,-65.79999999999998
249,230.0,11,-276.5856885744743
250,221.8632748256556,11,-64.25673976657592
251,229.97553028484006,15,-319.8608617129381
252,235.0,-49,0.09999999999999787
253,235.0,17,-39.687642950021704
254,235.0,20,-32.70000000000001
255,219.0,14,-27.674594534566182
256,220.3606797749979,20,-26.800000000000004
257,235.0,16,-21.910229511364577
258,222.0,18,-56.2
259,227.0,20,-22.97707054101528
260,219.0,10,-26.400000000000006
261,-321.55554568943757,15,-38.758480465076246
262,235.0,10,-9.18391561743271
263,242.3014581273465,13,-20.157442116713803
264,236.6470406614992,5,-5.223889830651267
265,222.0,19,-10.600000000000001
266,233.0,15,-20.412234857579982
