Episode,G-DPER-DDQN,PER-DDQN,MS-DDQN
392,40,38,38
393,42,40,38
394,39,38,38
395,38,40,38
396,45,42,39
397,40,41,44
398,39,38,39
399,40,38,38
400,42,42,40
401,39,45,38
402,40,38,42
403,43,40,42
404,42,38,40
405,42,42,38
406,44,43,41
407,41,38,43
408,38,38,40
409,40,40,38
410,40,44,41
411,38,38,38
412,40,38,40
413,41,40,38
414,39,44,38
415,40,39,40
416,42,42,38
417,38,39,38
418,41,38,42
419,40,38,41
420,43,44,41
421,42,38,44
422,38,38,43
423,38,52,38
424,40,42,44
425,40,38,38
426,39,41,40
427,38,39,38
428,40,38,42
429,40,41,39
430,42,40,39
431,38,40,87
432,40,42,38
433,41,39,41
434,42,38,38
435,39,40,43
436,39,40,41
437,43,40,40
438,42,40,40
439,38,44,40
440,39,40,40
441,38,40,40
442,42,40,38
443,45,40,42
444,40,40,42
445,40,38,41
446,40,38,41
447,42,40,38
448,41,40,38
449,38,40,38
450,44,39,39
451,38,38,45
452,42,39,38
453,42,38,40
454,38,58,40
455,43,40,40
456,41,38,42
457,43,39,42
458,41,40,38
459,39,40,40
460,38,40,95
461,38,38,99
462,39,40,38
463,39,43,47
464,40,43,43
465,42,40,40
466,38,43,40
467,39,41,44
468,38,44,41
469,39,41,38
470,40,39,42
471,41,38,38
472,44,39,42
473,42,38,40
474,41,44,38
475,39,41,41
476,45,41,40
477,41,42,38
478,40,42,39
479,42,38,38
480,39,38,41
481,39,41,42
482,38,38,43
483,40,39,38
484,38,45,40
485,44,42,46
486,38,44,43
487,40,40,40
488,40,41,40
489,38,38,38
490,42,39,40
491,39,40,39
492,38,40,38
493,40,40,39
494,43,38,40
495,38,42,40
496,38,74,40
497,40,54,39
498,41,42,38
499,44,40,40
